,stname,ctyname,confirmed_cases,deaths,population,days,avearge_case,populationdensity,toppest_ethnicity,second_ethnicity,third_ethnicity,toppest_age_group,second_age_group,third_age_group,fourth_age_group,target_rank
38,Alabama,Lauderdale County,23,4,92709,58,0.42773810971742876,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Medium
39,Alabama,Lawrence County,9,0,34339,64,0.40951978799615596,2_Low,White,Black,Indian,Middle Adult,Young Adult,Children,Senior,Low
40,Alabama,Lee County,305,14,140247,54,4.027286250791923,2_Low,White,Black,Asian,Young Adult,Children,Middle Adult,Senior,Very_High
41,Alabama,Limestone County,40,0,82782,52,0.929224673516911,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,High
42,Alabama,Lowndes County,27,0,11299,64,3.7337374988937073,1_Very Low,Black,White,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_High
43,Alabama,Macon County,24,2,21452,67,1.6698161254143233,1_Very Low,Black,White,Hispanic,Young Adult,Middle Adult,Children,Senior,High
44,Alabama,Madison County,197,4,334811,52,1.1315224226389033,3_Medium,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,High
45,Alabama,Marengo County,25,1,21027,64,1.8577305369287107,1_Very Low,Black,White,Hispanic,Young Adult,Middle Adult,Children,Senior,High
46,Alabama,Marion County,60,5,30776,59,3.304357787049561,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_High
47,Alabama,Marshall County,138,4,93019,63,2.354869640047937,2_Low,White,Hispanic,Black,Young Adult,Children,Middle Adult,Senior,Very_High
48,Alabama,Mobile County,637,25,412992,57,2.7059697515911267,3_Medium,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,Very_High
49,Alabama,Monroe County,8,1,23068,66,0.5254557014570886,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Children,Senior,Medium
50,Alabama,Montgomery County,215,5,229363,51,1.8379975299022964,3_Medium,Black,White,Hispanic,Young Adult,Children,Middle Adult,Senior,High
51,Alabama,Morgan County,45,0,119490,62,0.6074202457217367,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Medium
52,Alabama,Perry County,9,0,10591,74,1.1483488020170107,1_Very Low,Black,White,Hispanic,Young Adult,Children,Middle Adult,Senior,High
53,Alabama,Pickens County,32,0,19746,63,2.572351402494216,1_Very Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_High
54,Alabama,Pike County,34,0,32899,63,1.6404223219020022,2_Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,High
55,Alabama,Randolph County,51,4,22913,65,3.4243241156347257,1_Very Low,White,Black,Hispanic,Middle Adult,Young Adult,Children,Senior,Very_High
56,Alabama,Russell County,41,0,52947,63,1.2291416903576233,2_Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,High
57,Alabama,St. Clair County,53,0,83593,55,1.152771600057856,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,High
58,Alabama,Shelby County,257,7,195085,54,2.439582366280985,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_High
59,Alabama,Sumter County,35,0,13763,69,3.685580010256443,1_Very Low,Black,White,Asian,Young Adult,Middle Adult,Children,Senior,Very_High
60,Alabama,Talladega County,44,1,82291,57,0.9380489051796715,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,High
61,Alabama,Tallapoosa County,179,11,41616,61,7.051197206622925,2_Low,White,Black,Hispanic,Middle Adult,Young Adult,Children,Senior,Very_High
62,Alabama,Tuscaloosa County,141,0,194656,52,1.392989921470934,2_Low,White,Black,Hispanic,Young Adult,Children,Middle Adult,Senior,High
63,Alabama,Walker County,83,0,67023,57,2.1725979900589247,2_Low,White,Black,Hispanic,Young Adult,Middle Adult,Children,Senior,Very_High
